restaurant_id,restaurant_name,cuisine_type,district,weighted_public_rating,total_public_reviews,price_level_1_4,annual_demand_proxy_score_0_100,popularity_class,source,cuisine_group,is_high_popularity
R001,Tartufo Ristorante,Italian,BGC,4.8,1874,,92.1,High,Google Places (public),Italian,1
R002,Terraza Martinez,Spanish,BGC,4.8,1577,,91.3,High,Google Places (public),Other,1
R003,a mano BGC,Italian,BGC,4.8,3061,,94.4,High,Google Places (public),Italian,1
R004,Bolero,Spanish,BGC,4.8,2001,,92.4,High,Google Places (public),Other,1
R005,Burnt Bean,Cafe,BGC,4.8,3481,3,95.0,High,Google Places (public),Cafe,1
R006,Lorenzo's Way,Filipino,BGC,4.3,342,2,78.3,Medium,Google Places (public),Filipino,0
R007,Hai Chix & Steaks,Steak,BGC,4.7,1923,,91.0,High,Google Places (public),Steak,1
R008,The Wholesome Table,Western,BGC,4.4,1279,3,85.6,Medium,Google Places (public),Other,0
R009,The Fat Seed Cafe,Cafe,BGC,4.5,867,,85.0,High,Google Places (public),Cafe,1
R010,Ikoka Yakitori,Japanese,BGC,4.7,880,,87.5,High,Google Places (public),Japanese,1
R011,Ramen Ibuki,Japanese,BGC,4.8,959,,89.1,High,Google Places (public),Japanese,1
R012,Kei Maki,Japanese,BGC,4.8,400,,85.1,High,Google Places (public),Japanese,1
R013,Umi Matsu,Japanese,BGC,4.7,2574,,92.4,High,Google Places (public),Japanese,1
R014,Inari Sukiyaki,Japanese,BGC,4.8,843,,88.5,High,Google Places (public),Japanese,1
R015,Ooma,Japanese,BGC,4.6,2435,3,90.9,High,Google Places (public),Japanese,1
R016,HIRO PREMIER Yakiniku,Japanese,BGC,5.0,617,,89.4,High,Google Places (public),Japanese,1
R017,Kiwami,Japanese,BGC,4.4,1294,2,85.6,Medium,Google Places (public),Japanese,0
R018,Sakagura,Japanese,BGC,4.9,1487,,92.3,High,Google Places (public),Japanese,1
R019,Ramen Ron,Japanese,BGC,4.8,1880,,92.1,High,Google Places (public),Japanese,1
R020,Jin Joo Korean Grill,Korean,BGC,4.8,2409,,93.3,High,Google Places (public),Korean,1
R021,Chung Dam,Korean,BGC,4.8,1662,,91.6,High,Google Places (public),Korean,1
R022,Soban K-Town Grill,Korean,BGC,4.8,2579,,93.6,High,Google Places (public),Korean,1
R023,Premier The Samgyupsal Stopover,Korean,BGC,4.8,2173,,92.8,High,Google Places (public),Korean,1
R024,Tang Korean Restaurant,Korean,BGC,4.6,634,,84.8,High,Google Places (public),Korean,1
R025,Jjampponggwan,Korean,Taguig,4.9,79,,78.9,Medium,Google Places (public),Korean,0
R026,BBQ Chicken BGC,Korean,BGC,4.7,2386,,92.0,High,Google Places (public),Korean,1
R027,Goobne BGC,Korean,BGC,4.8,2809,,94.0,High,Google Places (public),Korean,1
R028,Premier The Samgyupsal 36th,Korean,BGC,4.6,1987,2,90.0,High,Google Places (public),Korean,1
R029,Mento Taguig,Filipino,Taguig,4.9,69,,78.3,Medium,Google Places (public),Filipino,0
R030,George and Onnie's McKinley West,Filipino,Taguig,4.7,164,,79.8,High,Google Places (public),Filipino,1
R031,George and Onnie's Finance Centre,Filipino,BGC,4.8,637,,87.2,High,Google Places (public),Filipino,1
R032,Locavore BGC,Filipino,BGC,4.3,1089,2,83.6,Medium,Google Places (public),Filipino,0
R033,COCHI by Marvin Agustin,Filipino,BGC,4.8,3166,,94.5,High,Google Places (public),Filipino,1
